id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon
112187,Unknown (postmortem decomposition),Central America & Mexico,Mexico,,1,U.S./Mexico Border,21/09/2016,Pima County Office of the Medical Examiner,Verified,31.97355716,-111.9924693
112188,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,21/09/2016,Pima County Office of the Medical Examiner,Verified,31.89780402,-112.0103221
112189,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,26/09/2016,Pima County Office of the Medical Examiner,Verified,31.9356884,-112.0302348
112190,Presumed drowning,,,,1,Mediterranean,02/10/2016,IOM Greece,Verified,37.55720224,26.23258793
112577,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,05/09/2016,Pima County Office of the Medical Examiner,Verified,31.69704882,-111.9375376
112578,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,06/09/2016,Pima County Office of the Medical Examiner,Verified,31.98171147,-111.948524
112579,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,11/09/2016,Pima County Office of the Medical Examiner,Verified,31.86981786,-111.8935923
112580,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,12/09/2016,Pima County Office of the Medical Examiner,Verified,31.71574211,-111.9650035
112581,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,13/09/2016,Pima County Office of the Medical Examiner,Verified,31.96307199,-112.0364146
112582,Unknown (skeletal remains),,,,1,U.S./Mexico Border,18/09/2016,Pima County Office of the Medical Examiner,Verified,31.95375083,-111.9952159
112583,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,19/09/2016,Pima County Office of the Medical Examiner,Verified,31.90246756,-112.0377879
112584,Unknown (skeletal remains),Central America,,,1,U.S./Mexico Border,22/09/2016,Pima County Office of the Medical Examiner,Verified,31.92111933,-111.9938426
112977,Drowning,,,,1,Mediterranean,05/10/2016,Hurriyet Daily News,Partially Verified,37.84753083,27.24369125
113377,Drowning,MENA,,,1,Mediterranean,23/08/2015,IOM Greece,Verified,39.16094401,26.55395387
113378,Presumed drowning,Sub-Saharan Africa,Unspecified nationalities of Subsaharan Africa,25,,North Africa,03/03/2015,Asociación Pro Derechos Humanos de Andalucía (APDHA),Partially Verified,20.74616042,-16.93577199
113379,Hit by train,Central America,,,1,Central America incl. Mexico,16/04/2015,Noticiero El Circo,Partially Verified,22.22640152,-102.3202693
113380,Presumed drowning,Sub-Saharan Africa,Unspecified nationalities of Sub-Saharan Africa,22,,Mediterranean,19/06/2015,Asociación Pro Derechos Humanos de Andalucía (APDHA),Partially Verified,35.35251502,-3.976367974
113381,Drowning,Sub-Saharan Africa,Unspecified nationality of Sub-Saharan Africa,,1,Mediterranean,30/08/2015,Asociación Pro Derechos Humanos de Andalucía (APDHA),Partially Verified,35.88046291,-5.320929935
113382,Drowning,Sub-Saharan Africa,Morocco,1,1,Mediterranean,12/10/2015,Asociación Pro Derechos Humanos de Andalucía (APDHA),Partially Verified,35.27294694,-2.924593911
113383,Drowning,Central America & Mexico,Mexico,,1,U.S./Mexico Border,16/11/2015,Zupango,Partially Verified,26.08528729,-98.26451937
113384,Drowning,Central America & Mexico,,,1,U.S./Mexico Border,18/09/2016,La Rancherita del Aire,Partially Verified,28.69377857,-100.5099913
113777,Fell from boat,,,,1,Mediterranean,25/05/2015,Asociación Pro Derechos Humanos de Andalucía (APDHA),Partially Verified,35.27308709,-2.927512154
113778,Shot,Central America,Honduras,,1,Central America incl. Mexico,03/08/2015,Tiempo,Partially Verified,20.37373282,-99.64635203
113779,,Sub-Saharan Africa,Unspecified nationality of North Africa,,1,Mediterranean,09/09/2015,Asociación Pro Derechos Humanos de Andalucía (APDHA),Partially Verified,35.31589034,-2.949141488
114177,Drowning,Mixed,,,18,Mediterranean,27/09/2016,IOM Libya,Verified,32.03588962,24.03955721
114178,Drowning,,,,3,Mediterranean,04/10/2016,IOM Libya,Verified,32.94946945,12.02319125
114179,Hit by vehicle,Horn of Africa,Eritrea,,1,Europe,08/10/2016,BBC,Partially Verified,50.96058326,1.875221378
114180,Drowning,Central America & Mexico,Mexico,,1,U.S./Mexico Border,10/10/2016,La Rancherita del Aire,Partially Verified,28.68617033,-100.5091101
114577,Presumed drowning,,,,1,Europe,11/10/2016,IOM Greece,Partially Verified,41.19594237,26.31815077
114977,Drowning,Central America,,,1,U.S./Mexico Border,11/10/2016,La Rancherita del Aire,Partially Verified,29.34267452,-100.9449565
114978,Drowning,Sub-Saharan Africa,"Nigeria, Senegal",17,,Mediterranean,13/10/2016,IOM Italy,Verified,33.4000525,13.61620883
114979,Hit by train,MENA,Iraq,,1,Europe,13/10/2016,La Voix du Nord,Partially Verified,50.978528,2.221462375
115377,unknown (corpses recovered from boats),,,,3,Mediterranean,15/03/2016,"AFP, Reuters",Partially Verified,33.72948387,13.75803258
115777,Suffocation,Horn of Africa,Eritrea,,1,Europe,17/10/2016,International Business Times,Partially Verified,51.0972128,1.018599377
115778,Presumed drowning,Caribbean,Cuba,,1,Caribbean,17/10/2016,Local 10 - ABC News,Partially Verified,24.01646285,-81.33045
116177,Injured from a fight,MENA,Sudan,,1,Europe,17/10/2016,La Presse,Partially Verified,50.5376558,2.641136593
116577,Drowning,Central America,,,1,U.S./Mexico Border,12/05/2016,Desaparecidos y sin reclamar en la frontera via Facebook,Partially Verified,32.70002537,-115.1744057
116578,Vehicle accident,Horn of Africa,Ethiopia,,7,Sub-Saharan Africa,30/09/2016,IOM Mozambique,Partially Verified,-12.30149237,39.35330377
116579,Drowning,Central America,Guatemala,,1,Central America incl. Mexico,08/10/2016,La Journada,Partially Verified,15.66295484,-93.21907823
116580,Drowning,Central America & Mexico,Honduras,,1,U.S./Mexico Border,18/10/2016,Zocalo Saltillo,Partially Verified,28.68812801,-100.5109984
116581,,,,4,5,Mediterranean,18/10/2016,International Business Times,Partially Verified,33.38637108,13.98808787
116977,Drowning,Mixed,,,13,Mediterranean,20/10/2016,"IOM Italy, UNHCR",Partially Verified,32.88491162,14.71484165
116978,,Central America,Honduras,,1,Central America incl. Mexico,31/07/2016,Info7,Partially Verified,25.75904089,-100.3595497
117377,Drowning,,,,1,Mediterranean,20/10/2016,UNHCR,Verified,33.89379333,14.08762243
117378,Drowning,,,,1,Mediterranean,21/10/2016,UNHCR,Verified,34.00315594,16.50461461
117379,Drowning,Central America,"1 Venezuelan, 1 unknown",,2,U.S./Mexico Border,23/10/2016,SDP Noticias,Partially Verified,27.49931634,-99.50719049
117777,Asphyxiation,,,,3,Mediterranean,20/10/2016,UNHCR,Verified,34.03957798,16.19699743
117778,Drowning,Mixed,,10,4,Mediterranean,20/10/2016,UNHCR,Verified,32.57054562,15.58176305
118177,Plane Stowaway,Sub-Saharan Africa,,,1,Middle East ,20/09/2016,Today.ng,Partially Verified,21.50016966,39.18552008
118178,Drowning,,,,2,Mediterranean,08/10/2016,IOM Libya,Partially Verified,32.80085126,12.5255251
118179,"Drowning, Asphyxiation",Mixed,,30,,Mediterranean,21/10/2016,UNHCR,Partially Verified,33.25317816,15.2421854
118180,Mixed,Central America & Mexico,Honduras,,44,Central America incl. Mexico,22/10/2016,Departmento 19,Verified,19.14634505,-98.4843723
118577,,Horn of Africa,Ethiopia,,14,Horn of Africa,20/10/2016,IOM Djibouti,Partially Verified,11.95432556,43.27819781
118977,Fuel Inhalation,Mixed,,,29,Mediterranean,24/10/2016,Medicines Sans Frontieres,Partially Verified,33.03240315,14.84667758
119377,Drowning,Mixed,,29,1,Mediterranean,25/10/2016,IOM Italy,Partially Verified,35.19810817,13.49250682
119378,Drowning,Mixed,,29,,Mediterranean,25/10/2016,IOM Italy,Partially Verified,34.34867084,14.49511508
119379,,,,1,9,Mediterranean,25/10/2016,IOM Italy,Partially Verified,33.06923754,15.81347446
119380,Drowning,Sub-Saharan Africa,"Senegal, Mali, Guinea",,97,Mediterranean,25/10/2016,IOM Libya,Partially Verified,33.41159413,13.75668834
119381,,Mixed,,32,2,Mediterranean,26/10/2016,UNHCR,Partially Verified,33.61989914,14.80273227
120577,Presumed drowning,,,10,,Mediterranean,25/10/2016,IOM Italy,Verified,34.49488321,15.62570836
120578,Drowning,Central America & Mexico,,,1,U.S./Mexico Border,27/10/2016,Super Channel 12,Partially Verified,28.73623123,-100.5070122
120579,Fell from train,Central America & Mexico,Honduras,,1,Central America incl. Mexico,18/10/2016,Jose Luis Morales,Partially Verified,16.09381014,-93.76815215
120977,Drowning,Central America & Mexico,Honduras,1,1,U.S./Mexico Border,14/07/2016,Rancherita del Aire,Partially Verified,28.9662448,-103.1511464
120978,Drowning,South East Asia,Malaysia,6,54,Southeast Asia,01/11/2016,The Jakarta Post,Partially Verified,0.311027488,106.376951
120979,Drowning,,,,3,Mediterranean,28/10/2016,UNHCR,Verified,35.61006781,14.83469274
121377,Drowning,,,4,2,Mediterranean,28/10/2016,UNHCR,Verified,33.25440685,16.59250524
121777,Drowning,Mixed,,99,12,Mediterranean,31/10/2016,IOM Italy,Verified,34.89233675,13.42844274
121778,Presumed drowning,Mixed,,128,,Mediterranean,01/11/2016,IOM Italy,Verified,34.49488421,13.82395055
122177,,,,,,,,,,39.27242406,26.42944866
122178,,Central America & Mexico,,,1,U.S./Mexico Border,09/10/2016,Pima County Office of the Medical Examiner,Verified,31.81382003,-112.1792369
122179,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,21/10/2016,Pima County Office of the Medical Examiner,Verified,31.94442873,-112.0693736
122180,,,,,1,Mediterranean,24/10/2016,IOM Italy,Partially Verified,37.46249149,15.07087853
122182,Unknown (Mummified remains),Central America & Mexico,,,1,U.S./Mexico Border,26/10/2016,Pima County Office of the Medical Examiner,Verified,31.86048725,-112.4813609
122184,Hit by vehicle,Middle East,Syria,,1,Europe,25/10/2016,TheLocal.fr,Partially Verified,50.93776396,1.908352024
122577,,Horn of Africa,Ethiopia,,10,Horn of Africa,04/10/2016,IOm Djibouti,Partially Verified,11.95063089,43.2991405
122578,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,29/09/2016,Pima County Office of the Medical Examiner,Verified,31.883812,-112.2561412
122579,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,05/10/2016,Pima County Office of the Medical Examiner,Verified,31.9490899,-112.1133189
122580,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,09/10/2016,Pima County Office of the Medical Examiner,Verified,31.79514654,-112.283607
122581,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,11/10/2016,Pima County Office of the Medical Examiner,Verified,31.77179936,-112.0803599
122582,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,13/10/2016,Pima County Office of the Medical Examiner,Verified,31.87448281,-111.9320445
122583,,Central America & Mexico,,,1,U.S./Mexico Border,13/10/2016,Pima County Office of the Medical Examiner,Verified,31.79047757,-111.9979624
122584,,Central America & Mexico,,,1,U.S./Mexico Border,13/10/2016,Pima County Office of the Medical Examiner,Verified,31.92578168,-112.1133189
122585,,Central America & Mexico,,,1,U.S./Mexico Border,13/10/2016,Pima County Office of the Medical Examiner,Verified,31.91645674,-112.1572642
122586,Unknown (Skeletal remains),Central America & Mexico,Guatemala,,1,U.S./Mexico Border,18/10/2016,Pima County Office of the Medical Examiner,Verified,31.74377498,-111.9320445
122587,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,23/10/2016,Pima County Office of the Medical Examiner,Verified,31.96307199,-112.18473
122588,Unknown (Skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,24/10/2016,Pima County Office of the Medical Examiner,Verified,31.82315536,-112.552772
122589,,,,4,6,Mediterranean,25/10/2016,UNHCR,Partially Verified,35.7981854,16.20886628
122977,Dehydration,Central America & Mexico,El Salvador,,1,U.S./Mexico Border,12/10/2016,Zocalo,Partially Verified,28.18218414,-100.2479329
122978,Drowning,Central America & Mexico,Mexico,,1,U.S./Mexico Border,22/10/2016,Hoy Tamaulipas,Partially Verified,28.78656699,-100.5388075
122979,Drowning,Middle East/ South Asia,,,1,Mediterranean,03/11/2016,IOM Greece,Partially Verified,37.79591132,26.69108355
122980,,,,,1,Mediterranean,04/11/2016,UNHCR,Verified,34.63842453,14.58300571
122981,"Hyperthermia, Dehydration",Central America & Mexico,Mexico,,1,U.S./Mexico Border,20/04/2016,El Imparcial,Partially Verified,29.10506945,-110.944694
123377,Fell from train,Central America & Mexico,Honduras,,1,Central America incl. Mexico,13/10/2016,alchileaguascalientes.com,Partially Verified,21.30885493,-102.1725268
123378,Drowning,Central America & Mexico,Nicaragua,,1,U.S./Mexico Border,21/10/2016,Radio Eco Digital via Facebook,Partially Verified,26.07164192,-98.24756781
123379,Drowning,Central America & Mexico,Honduras,,1,U.S./Mexico Border,03/11/2016,Laredo Monitor,Partially Verified,27.46044645,-99.48892287
123380,,Sub-Saharan Africa,Reported as unspecified national of Africa,12,10,Mediterranean,04/11/2016,Italian Coast Guard,Verified,34.14888204,13.98974399
123381,Drowning,Sub-Saharan Africa,Reported as unspecified national of Africa,,1,Mediterranean,05/11/2016,AFP,Partially Verified,32.89571541,14.26602974
123777,"Drowning, Asphyxiation",Central America & Mexico,Mexico,,1,U.S./Mexico Border,16/06/2016,El Siglo,Partially Verified,28.19378763,-100.2239233
124177,Drowning,Central America & Mexico,Mexico,,1,U.S./Mexico Border,12/08/2016,Hoy Tamaulipas,Partially Verified,25.88549113,-97.51201242
124577,Drowning,Mixed,Reported as unspecified nationals of Africa,22,4,Mediterranean,08/11/2016,UNHCR,Partially Verified,33.58329684,13.46240024
125377,Road accident,South Asia,Pakistan,,1,Europe,15/07/2015,Calais Migrant Solidarity,Verified,50.93723527,1.890963574
125777,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of West Africa,1,5,Mediterranean,13/11/2016,SOS Mediteranee,Verified,35.34298932,15.08837691
125778,Presumed drowning,Sub-Saharan Africa,Reported as unspecified nationals of West Africa,135,,Mediterranean,13/11/2016,IOM Italy,Verified,34.29678635,15.92333784
125779,Presumed drowning,,,3,,Mediterranean,13/11/2016,IOM Italy,Partially Verified,33.96941102,12.62743941
125780,Drowning,Middle East/ South Asia,,,4,Mediterranean,15/11/2016,Hellenic Coast Guard,Verified,40.58783735,25.13033024
125782,Shot,South East Asia,Rohingya,,1,Southeast Asia,14/11/2016,AFP,Partially Verified,21.39453321,92.41894231
126178,Drowning,Mixed,,95,4,Mediterranean,14/11/2016,IOM Italy,Verified,33.56756815,15.13232222
126179,Drowning,South East Asia,Venezuela,,1,Caribbean,03/04/2016,PanamPost,Partially Verified,12.41207731,-69.88197657
126180,Hit by vehicle,Central America & Mexico,Honduras,,1,Central America incl. Mexico,13/04/2016,Noticias de la Frontera,Partially Verified,17.42222614,-91.3362654
126181,Heart attack,Caribbean,Cuba,,1,South America,29/09/2016,Noticias RPTV,Partially Verified,7.819687403,-77.24050945
126577,Drowning,Mixed,,96,7,Mediterranean,15/11/2016,IOM Rome,Verified,34.00328351,13.35253696
126977,Presumed drowning,,,25,,Mediterranean,16/11/2016,IOM Italy,Verified,33.80267739,15.46191196
127377,,Caribbean,Cuba,25,1,Caribbean,11/02/2016,Havana Leaks,Partially Verified,9.383329145,-79.83332632
127777,Drowning,Middle East,Syria,3,6,Mediterranean,17/11/2016,UNHCR,Partially Verified,37.31223352,27.22932411
127778,Mixed,Central America & Mexico,Mixed,,6,U.S./Mexico Border,17/11/2016,Washington Post,Verified,27.48192786,-99.37209855
128177,Presumed drowning,Central America & Mexico,Mexico,,1,U.S./Mexico Border,20/11/2016,La Rancherita del Aire,Partially Verified,28.70807918,-100.5114275
128178,Stabbed,South Asia,Afghanistan,,1,Europe,20/11/2016,IOM Belgrade,Partially Verified,44.8032752,20.451394
128577,,North Africa,Sudan,,1,Europe,01/03/2016,Calais Prefecture,Verified,50.96912409,1.884662754
128578,,North Africa,Sudan,,1,Europe,26/07/2016,Calais Prefecture,Verified,50.96934029,1.890155918
128579,Fell from train,Central America & Mexico,Reported as unspecified national of Central America,,1,Central America incl. Mexico,16/11/2016,El Pinero de la Cuenca,Partially Verified,18.84307438,-96.92086989
128580,,Mixed,,26,2,Mediterranean,22/11/2016,MOAS,Partially Verified,33.58329684,13.30859165
128581,,,,,7,Mediterranean,21/11/2016,IOM Italy,Partially Verified,33.78441708,14.7368143
128582,Hypothermia,South Asia,Afghanistan,,1,Europe,22/11/2016,Sofia Globe,Partially Verified,43.4163924,23.02246093
128977,Crushed to death,,,,1,U.S./Mexico Border,12/04/2016,El Siglo,Partially Verified,28.42071113,-100.7722654
128978,Drowning,Central America & Mexico,El Salvador,,1,Central America incl. Mexico,19/05/2016,"El Mexico, Record Chiapas",Partially Verified,14.883575,-92.24142239
129377,Cervix cancer,Caribbean,Haiti,,1,Central America incl. Mexico,09/11/2016,Presidency of Costa Rica (Official communiqué),Partially Verified,9.913427331,-84.01792981
129378,Suicide,South Asia,Afghanistan,,1,Europe,22/11/2016,IOM Belgrade,Verified,43.59589735,23.48485441
129777,Digestive bleeding,South Asia,Nepal,,1,Central America incl. Mexico,14/05/2016,Presidency of Costa Rica (Official communiqué),Partially Verified,9.367276726,-83.7032999
130177,Presumed drowning,Sub-Saharan Africa,Ghana,,5,Central America incl. Mexico,13/06/2015,Ghana WEb and Critica .com,Partially Verified,8.433601232,-77.63891945
130178,Hit by train,Central America & Mexico,Honduras,,1,Central America incl. Mexico,16/06/2015,Noticiero Televisa,Partially Verified,25.69566745,-100.3290184
130179,Presumed drowning,Central America & Mexico,Guatemala,,1,U.S./Mexico Border,08/12/2015,Grupo NVI Noticias,,28.76170809,-100.5333467
130977,Presumed hypothermia,Caribbean,Dominican Republic,,1,South America,18/11/2016,CDN,Partially Verified,-19.69999756,-68.8833275
130978,Drowning,Sub-Saharan Africa,Nigeria,,1,Europe,21/11/2016,San Remo News,Partially Verified,43.79080673,7.605632529
130979,Drowning,Sub-Saharan Africa,Reported as unspecified national of Sub-Saharan Africa,,1,Mediterranean,24/11/2016,EFE,Partially Verified,35.89027846,-5.317298477
131377,Dehydration,,,,8,Mediterranean,25/11/2016,Times of Malta,Verified,35.2083686,14.89304994
131778,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,08/11/2016,Pima County Office of the Medical Examiner,Verified,32.5788,-112.07773
131779,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,15/11/2016,Pima County Office of the Medical Examiner,Verified,32.26808,-111.91801
131780,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,15/11/2016,Pima County Office of the Medical Examiner,Verified,31.724167,-111.9245
131781,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,22/11/2016,Pima County Office of the Medical Examiner,Verified,31.896033,-111.670983
131782,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,28/11/2016,Pima County Office of the Medical Examiner,Verified,31.91564,-111.7579
131783,Fell from train,Central America & Mexico,Honduran,,1,Central America incl. Mexico,28/11/2016,Aldofo Flores Noticias,Verified,18.50944561,-96.46764834
131784,Hit by truck,,,,2,Europe,02/12/2016,AP,Partially Verified,47.49113816,12.06141673
132177,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,03/11/2016,Pima County Office of the Medical Examiner,Verified,31.723883,-112.106567
132178,Unknown (skeletal remains),,,,1,U.S./Mexico Border,17/11/2016,Pima County Office of the Medical Examiner,,32.00034716,-112.0034556
132179,Unknown (skeletal remains),Central America & Mexico,,,1,U.S./Mexico Border,23/11/2016,Pima County Office of the Medical Examiner,Verified,31.831217,-111.918133
132180,Hypothermia,Central America & Mexico,Mexico,,1,U.S./Mexico Border,26/11/2016,Pima County Office of the Medical Examiner,Verified,32.287367,-111.691233
132181,Hypothermia,,,,2,Mediterranean,03/12/2016,Medicines Sans Frontieres,Partially Verified,34.44426848,14.32641171
132182,Drowning,Mixed,,6,14,Mediterranean,03/12/2016,IOM Italy,Verified,34.71059417,13.98905405
132577,Hit by train,Horn of Africa,Eritrea,,1,Europe,23/11/2016,Express UK,Partially Verified,46.49271964,11.33357872
132578,Drowning,South East Asia,Myanmar (Rohingya),4,26,Southeast Asia,05/12/2016,Al Jazeera,Partially Verified,19.8945115,91.77376131
132579,Drowning,,,,4,Mediterranean,04/12/2016,UNHCR,Partially Verified,35.59308945,15.29847644
132580,Hypothermia,,,,2,Mediterranean,06/12/2016,UNHCR,Verified,34.75974926,14.47932444
132581,Presumed hypothermia,,Dominican Republic,,1,South America,30/10/2016,El gobierno de la linea,Partially Verified,-20.47804507,-68.60058703
132979,Presumed drowning,Horn of Africa,,20,,Horn of Africa,06/12/2016,AFP,Partially Verified,12.49616573,52.71811499
133377,,,,,6,Mediterranean,10/12/2016,"IOM Italy, AFP",Verified,35.41699416,13.86058174
133378,,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,0,2,Mediterranean,09/12/2016,IOM Tunisia,Verified,33.25572826,11.24386279
133379,,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,0,1,Mediterranean,08/12/2016,IOM Tunisia,Verified,33.50569657,11.11878209
133380,Hit by train,Central America & Mexico,Honduras,,1,Central America incl. Mexico,07/12/2016,Laguna Multimedios,Partially Verified,25.50424256,-103.410196
133381,Heart attack,Central America & Mexico,Honduras,,1,Central America incl. Mexico,29/11/2016,Codigo San Luis,Partially Verified,22.16757,-100.9753935
133777,Asphyxiation (Silica sand inhalation),Central America & Mexico,Guatemala,,1,Central America incl. Mexico,07/12/2016,Noreste,Verified,18.82136,-97.16518
133778,Fell from wall,Central America & Mexico,El Salvador,,1,U.S./Mexico Border,29/03/2016,canalestrellatv,Partially Verified,31.3377623,-110.586893
133779,Drowning,Central America & Mexico,,,1,Central America incl. Mexico,09/12/2016,El Sol de Puebla,Partially Verified,14.81490683,-92.54349599
134177,Drowning,Sub-Saharan Africa,Reported as unspecified nationals of Sub-Saharan Africa,,11,Mediterranean,04/12/2016,IOM Libya,Verified,32.99475788,13.37045003
134178,,,,,5,Mediterranean,05/12/2016,IOM Libya,Verified,32.8914683,13.36428915
134179,,Mixed,,,15,Mediterranean,10/12/2016,IOM Libya,Verified,32.88108931,13.39930807
134180,Vehicle accident,Central America & Mexico,Honduras,,2,Central America incl. Mexico,13/12/2016,El Sol de Tlaxcala,Partially Verified,14.83629515,-92.45180897
134181,Drowning,Mixed,,20,,Mediterranean,13/12/2016,IOM Italy,Partially Verified,35.21765455,16.32909867
134183,Sickness_and_lack_of_access_to_medicines Starvation Harsh_weather_lack_of_adequate_shelter,Horn of Africa,,,6,North Africa,18/06/2016,Regional Mixed Migration Secretariat,Partially Verified,24.00877892,32.93312837
134577,Sickness_and_lack_of_access_to_medicines Harsh_weather_lack_of_adequate_shelter Other,Horn of Africa (P),,,2,North Africa,08/01/2016,Regional Mixed Migration Secretariat,,18.56628418,29.35552979
134578,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,2,North Africa,10/01/2016,Regional Mixed Migration Secretariat,,22.01812744,31.51708984
134579,Vehicle_Accident,Horn of Africa (P),,,2,Horn of Africa,10/01/2016,Regional Mixed Migration Secretariat,,14.28051758,36.61749268
134580,Sickness_and_lack_of_access_to_medicines Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),,,1,North Africa,10/01/2016,Regional Mixed Migration Secretariat,,22.01812744,31.51708984
134581,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),,,3,North Africa,10/01/2016,Regional Mixed Migration Secretariat,,23.53009033,22.28027344
134582,Sickness_and_lack_of_access_to_medicines Dehydration,Horn of Africa (P),,,1,Horn of Africa,10/01/2016,Regional Mixed Migration Secretariat,,9.611083984,43.41729736
134583,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,1,Horn of Africa,10/01/2016,Regional Mixed Migration Secretariat,,8.587280273,48.34527588
134584,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),,,1,North Africa,12/01/2016,Regional Mixed Migration Secretariat,,21.84649658,31.45672607
134585,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),,,1,Horn of Africa,12/01/2016,Regional Mixed Migration Secretariat,,8.488098145,47.36248779
134586,Vehicle_Accident,Horn of Africa (P),,,1,North Africa,15/01/2016,Regional Mixed Migration Secretariat,,30.69769287,32.6295166
134587,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,1,North Africa,15/01/2016,Regional Mixed Migration Secretariat,,15.50067139,32.55987549
134588,Sickness_and_lack_of_access_to_medicines Dehydration Shot_or_Stabbed,Horn of Africa (P),,,4,Sub-Saharan Africa,18/01/2016,Regional Mixed Migration Secretariat,,-4.135375977,39.78027344
134589,Dehydration,Horn of Africa (P),,,14,North Africa,19/01/2016,Regional Mixed Migration Secretariat,,23.3112793,21.85687256
134590,Sickness_and_lack_of_access_to_medicines Dehydration,Horn of Africa (P),,,1,Horn of Africa,19/01/2016,Regional Mixed Migration Secretariat,,9.4453125,42.80267334
134591,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),,,1,Horn of Africa,20/01/2016,Regional Mixed Migration Secretariat,,8.408508301,48.48370361
134592,Sickness_and_lack_of_access_to_medicines Starvation Dehydration,Horn of Africa (P),,,2,Horn of Africa,20/01/2016,Regional Mixed Migration Secretariat,,9.439086914,43.86291504
134593,Shot_or_Stabbed,Horn of Africa (P),,,2,North Africa,20/01/2016,Regional Mixed Migration Secretariat,,15.50689697,36.5612793
134594,Sickness_and_lack_of_access_to_medicines Harsh_weather_lack_of_adequate_shelter Suffocation,Horn of Africa (P),,,1,North Africa,20/01/2016,Regional Mixed Migration Secretariat,,19.33508301,28.93811035
134595,Vehicle_Accident,Horn of Africa (P),,,2,North Africa,20/01/2016,Regional Mixed Migration Secretariat,,17.70147705,34.00848389
134596,Shot_or_Stabbed,Horn of Africa (P),,,2,North Africa,21/01/2016,Regional Mixed Migration Secretariat,,14.57067871,39.4216919
134597,Vehicle_Accident,Horn of Africa (P),,,2,North Africa,29/01/2016,Regional Mixed Migration Secretariat,,17.69311523,34.04290772
134598,Vehicle_Accident,Horn of Africa (P),,,3,North Africa,29/01/2016,Regional Mixed Migration Secretariat,,21.88348389,32.70629883
134599,Sickness_and_lack_of_access_to_medicines Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),,,1,North Africa,29/01/2016,Regional Mixed Migration Secretariat,,24.24847412,33.02490234
134600,Vehicle_Accident,Horn of Africa (P),,,2,North Africa,30/01/2016,Regional Mixed Migration Secretariat,,30.06872559,31.33551025
134601,Shot_or_Stabbed,Horn of Africa (P),,,5,North Africa,05/02/2016,Regional Mixed Migration Secretariat,,12.95349121,36.14611816
134602,Starvation Dehydration Harsh_weather_lack_of_adequate_shelter,Horn of Africa (P),,,1,North Africa,06/02/2016,Regional Mixed Migration Secretariat,,30.26068115,33.00292969
134603,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,1,Horn of Africa,07/02/2016,Regional Mixed Migration Secretariat,,9.422485352,42.95391846
134604,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,1,Horn of Africa,07/02/2016,Regional Mixed Migration Secretariat,,8.469482422,47.36590576
134605,Excessive_physical_abuse,Horn of Africa (P),,,2,North Africa,07/02/2016,Regional Mixed Migration Secretariat,,12.95391846,36.11608887
134606,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,7,North Africa,07/02/2016,Regional Mixed Migration Secretariat,,27.02050781,14.63110352
134607,Sickness_and_lack_of_access_to_medicines,Horn of Africa (P),,,1,North Africa,07/02/2016,Regional Mixed Migration Secretariat,,14.02429199,35.36871338
