id,cause_of_death,region_origin,affected_nationality,missing,dead,incident_region,date,source,reliability,lat,lon
43777,Drowning,Central America & Mexico,,,1,U.S./Mexico Border,25/03/2016,Valley Central,Partially Verified,26.09120359,-98.26637938
44177,Drowning,Central America,Guatemala,,1,U.S./Mexico Border,04/04/2016,Expreso.press,Partially Verified,27.47584794,-99.4822801
44577,Drowning,Central America & Mexico,Salvadoran,,1,U.S./Mexico Border,20/10/2015,Zocalo Saltillo,Partially Verified,27.48002159,-99.47940771
44578,Drowning,,Reported as unspecified nationals of Africa,,9,Mediterranean,30/03/2016,IOM Italy,Partially Verified,31.55453191,30.6550957
44580,Drowning,Horn of Africa,,,20,Horn of Africa,28/02/2016,UNHCR,Verified,12.92413692,43.17494672
44581,Drowning,Horn of Africa,,,4,Horn of Africa,29/02/2016,UNHCR,Verified,12.69916871,43.3617143
44582,Hit by vehicle,Central America & Mexico,,,1,Central America incl. Mexico,19/04/2015,AM León (Mexico),Partially Verified,20.53857306,-101.4555325
44583,Drowning,Central America & Mexico,Mexican,,1,U.S./Mexico Border,20/10/2015,Zocalo Saltillo,Partially Verified,27.49129071,-99.49022237
44584,drowning,Central America,Mexican,,1,U.S./Mexico Border,28/07/2015,La Jornada,Partially Verified,27.46370142,-99.48592791
44585,Drowning,Central America,Mexican,,1,U.S./Mexico Border,13/08/2015,El Manana,Partially Verified,31.31935949,-110.3098935
44586,drowning,Central America,Mexican,,2,U.S./Mexico Border,27/11/2015,Codigo San Luis,Partially Verified,26.10474817,-98.28880787
44587,Mixed,Central America & Mexico,Mixed,,145,U.S./Mexico Border,30/12/2015,County sheriffs and medical examiners,Verified,31.2504392,-99.25060627
44588,Mixed,Central America & Mexico,Mixed,,139,U.S./Mexico Border,30/12/2015,Pima County Office of the Medical Examiner,Verified,34.50029832,-111.5009762
44589,Mixed,Central America & Mexico,Mixed,,10,U.S./Mexico Border,30/12/2015,Imperial County sheriff,Verified,33.03337899,-115.4174782
44978,drowning,Central America,Salvadoran,,1,U.S./Mexico Border,17/10/2015,La Jornada,Partially Verified,27.46910851,-99.48318133
44979,drowning,South America,Ecuadorian,,1,U.S./Mexico Border,19/11/2015,@HS_Barboza,Partially Verified,29.33739146,-100.9412275
44980,drowning,Central America,Honduras,,1,U.S./Mexico Border,23/12/2015,Noticias de Honduras,Partially Verified,27.4999466,-99.50051912
45377,Drowning,Central America & Mexico,,,1,U.S./Mexico Border,18/02/2016,La Tarde,Partially Verified,26.40391927,-99.01896683
45378,Drowning,Central America & Mexico,,,1,U.S./Mexico Border,19/03/2016,KrisTV,Partially Verified,26.17526523,-98.36396153
45777,,Central America,,,1,U.S./Mexico Border,26/03/2016,La Tarde,Partially Verified,27.19879237,-98.14177354
45778,Hypothermia,Central America & Mexico,Mexico,,1,U.S./Mexico Border,28/01/2016,Radio Zocalo,Partially Verified,28.72143262,-100.5076988
46178,Drowning,,,4,5,Mediterranean,08/04/2016,"Reuters, Hellenic Coast Guard",Partially Verified,37.81799381,26.77368849
46577,Hit by truck,South Asia,Afghan,,1,Europe,13/10/2015,Daily Mail,Verified,51.299076,0.516879735
46578,Drowning,,,,1,U.S./Mexico Border,06/04/2016,MiMorelia,Partially Verified,31.74439719,-106.4883517
46977,Hit by train,Central America,Honduras,,1,Central America incl. Mexico,12/03/2016,Twitter and Chanel 6,Partially Verified,19.4133261,-98.14357851
47377,Drowning,,,,3,Mediterranean,10/04/2016,EcoDiario.es,Partially Verified,33.27756771,11.35302432
47777,Fell from train,Central America,Honduras,,1,Central America incl. Mexico,10/01/2016,NOAT Agencia de Noticias,Partially Verified,18.12580339,-94.49065826
47778,Hit by train,Central America,Honduras,,1,Central America incl. Mexico,08/04/2016,El Informante de Veracruz,Partially Verified,18.83233028,-97.12931857
47779,Drowning,,,,4,Mediterranean,11/04/2016,"IOM Tunisia, Espace Manager",Partially Verified,33.19866135,11.48757928
48178,Car accident,Central America,Mexico,,1,U.S./Mexico Border,08/04/2016,El Bravo,Partially Verified,32.72531833,-114.6243965
48577,Shot,Central America,Guatemala,,1,Central America incl. Mexico,08/04/2016,Prensa Libre,Partially Verified,14.78041763,-91.27819372
48978,Hyperthermia,Central America & Mexico,Honduras,,1,Central America incl. Mexico,08/01/2016,El Heroico,Partially Verified,17.2666656,-90.99999891
48979,Unknown (found dead near train tracks),Central America,,,1,Central America incl. Mexico,18/03/2016,Telediario,Partially Verified,21.06534074,-101.6334381
49377,Drowning,MENA,Syria,,1,Mediterranean,14/04/2016,Daily Star,Partially Verified,38.45484192,27.05853886
49777,Hit by vehicle,Central America & Mexico,Mexico,,1,U.S./Mexico Border,18/03/2016,"South Austin Patch, Guanajuato Informa",Partially Verified,30.25210496,-97.7358722
50577,"AH1N1 influenza virus, while stuck at border",Caribbean,Cuba,,1,Central America incl. Mexico,03/01/2016,AFP,Partially Verified,9.370277058,-82.91137395
50978,Drowning,Central America & Mexico,El Salvador,,1,Central America incl. Mexico,13/10/2015,102Nueve,Partially Verified,26.10209127,-98.30425898
51377,Hit by train,Central America,,,1,Central America incl. Mexico,09/09/2015,LMTenEspañol,Partially Verified,27.46166501,-99.69148329
51778,Drowning,Mixed,,24,8,Mediterranean,16/04/2016,IOM Rome,Partially Verified,35.57684837,12.81494549
51779,Drowning,,"Egypt (est.80), Ethiopia (est.150), Somalia (est.190), Sudan, Syria",459,,Mediterranean,08/04/2016,"IOM Greece, Reuters",Partially Verified,32.63577598,25.59686922
52177,Unknown (found dead near train tracks),Central America & Mexico,Honduras,,1,Central America incl. Mexico,13/02/2016,Central Noticias,Partially Verified,17.9979362,-94.63541982
52179,Unknown (found dead near train tracks),Central America,,,1,Central America incl. Mexico,20/03/2016,TV Noticias La Pacoyan,Partially Verified,19.04581672,-96.42113586
52181,Drowning,Caribbean,Cuban,,2,Central America incl. Mexico,31/08/2014,Notitarde,Partially Verified,21.89736409,-88.38476402
52578,Mixed,Central America & Mexico,Various,,147,U.S./Mexico Border,29/12/2014,US Border Patrol,Verified,29.74673786,-101.4090141
53377,Drowning,Mixed,,,12,Mediterranean,25/03/2016,Ultime Notizie,Partially Verified,32.78153382,13.86480596
53777,Murdered,Middle East/ South Asia,Egypt,,13,North Africa,26/04/2016,IOM Libya,Verified,31.75661729,13.99421962
54177,Drowning,Central America,,,1,U.S./Mexico Border,23/04/2016,La Tarde,Partially Verified,26.09999596,-98.28074982
54577,Drowning,Sub-Saharan Africa,,84,,Mediterranean,28/04/2016,"IOM Italy, BBC",Verified,32.84066678,12.57393361
