city,state,lat,lon
Ancona,IL,41.042878,-88.86268
Ancram,NY,42.086628,-73.6642
Ancramdale,NY,42.045941,-73.57792
Andale,KS,37.779021,-97.62602
Andalusia,AL,31.324521500000003,-86.47849500000001
Andalusia,IL,41.440852,-90.71957
Anderson,AK,64.349263,-149.19265
Anderson,AL,34.944113,-87.24921
Anderson,CA,40.45453,-122.31101
Anderson,IN,40.114892375,-85.680977875
Anderson,MO,36.658583,-94.44972
Anderson,SC,34.488180166666666,-82.72422949999999
Anderson,TX,30.536223,-96.0229
Anderson Island,WA,47.16438,-122.69584
Andersonville,GA,32.195361,-84.137
Andersonville,TN,36.217896,-84.01131
Andes,NY,42.152105,-74.78184
Andover,CT,41.737015,-72.37151
Andover,IA,41.978834,-90.25171
Andover,IL,41.292977,-90.29334
Andover,KS,37.693585,-97.11321
Andover,MA,42.6447916,-71.1166058
Andover,ME,44.661894,-70.79952
Andover,MN,45.254715,-93.28652
Andover,NH,43.444702,-71.78401
Andover,NJ,40.966308,-74.74298
Andover,NY,42.157534,-77.79265
Andover,OH,41.611348,-80.5622
Andover,SD,45.418297,-97.92959
Andover,VA,36.921924,-82.79644
Andreas,PA,40.749289,-75.82947
Andrew,IA,42.154059,-90.59176
Andrews,IN,40.838891,-85.62014
Andrews,NC,35.202178,-83.81695
Andrews,SC,33.45053,-79.59233
Andrews,TX,32.345871,-102.56767
Andrews Air Force Base,MD,38.820546,-76.88334
Aneta,ND,47.694,-97.99703
Aneth,UT,37.198216,-109.11245
Angel Fire,NM,36.363506,-105.24877
Angela,MT,46.017965,-106.99199
Angeles,PR,18.279531,-66.80217
Angelica,NY,42.339925,-77.99413
Angels Camp,CA,38.087437,-120.58072
Angelus Oaks,CA,34.172474,-116.87593
Angie,LA,30.9169075,-89.8416175
Angier,NC,35.494384,-78.71
Angle Inlet,MN,49.342144,-95.03571
Angleton,TX,29.176325499999997,-95.4552465
Angola,IN,41.656798,-85.0223
Angola,LA,30.949066,-91.59294
Angola,NY,42.633375,-79.04567
Angoon,AK,57.48765,-134.57222
Angora,MN,47.764569,-92.76689
Angora,NE,41.823881,-102.96652
Anguilla,MS,32.977692,-90.79251
Angus,MN,48.071847,-96.74918
Angus,TX,32.03049,-96.383005
Angwin,CA,38.568307,-122.45084
Aniak,AK,61.570981,-158.88072
Animas,NM,31.861247,-108.81515
Anita,IA,41.445635,-94.75806
Anita,PA,41.00232,-78.96306
Aniwa,WI,45.03324,-89.28376
Ankeny,IA,41.70265833333333,-93.59897433333333
Anmoore,WV,39.258328,-80.28798
Ann Arbor,MI,42.26749125,-83.77170037500001
Anna,IL,37.457806,-89.21408
Anna,OH,40.40476,-84.19578
Anna,TX,33.352705,-96.5338335
Anna Maria,FL,27.530644,-82.73594
Annabella,UT,38.707639,-112.05826
