L101,L102,L103,L104,L106,L107,L108,DAY,TIME
70.085,19.49,39.77,56.7,25.79,80.715,34.845,3,265
95.675,27.365,68.9,78.945,35.83,89.375,27.955,3,266
38.78,10.04,32.68,50.59,11.415,50.395,14.175,3,267
80.325,24.805,57.88,100,32.09,95.87,50.795,3,268
63.98,18.31,39.765,100,27.955,96.86,26.185,3,269
82.29,21.655,30.12,99.61,26.575,97.645,28.55,3,270
87.015,21.065,26.38,100,27.17,99.415,23.625,3,271
65.95,26.775,32.485,100,19.885,94.1,45.87,3,272
74.215,20.67,32.48,100,31.89,41.93,27.165,3,273
74.615,19.685,44.295,100,27.365,24.015,19.295,3,274
69.3,23.23,36.42,100,22.64,17.525,27.955,3,275
68.315,21.265,34.455,100,38.195,21.655,51.775,3,276
67.525,16.34,49.61,100,28.545,19.69,27.565,3,277
70.48,12.005,56.7,100,37.6,33.075,7.875,3,278
69.69,18.9,39.37,100,22.245,11.025,24.015,3,279
72.845,23.625,19.685,100,27.76,11.025,23.62,3,280
68.31,23.82,26.38,100,21.065,45.475,40.95,3,281
82.49,25.595,16.535,100,40.355,56.895,49.61,3,282
75.005,23.82,34.645,100,36.03,85.045,30.32,3,283
81.7,26.97,36.225,83.665,22.445,100,44.095,3,284
63.98,26.38,11.815,96.655,20.08,90.755,47.445,3,285
84.455,43.115,24.215,100,39.375,92.13,51.775,3,286
59.845,35.83,33.27,100,34.255,99.215,59.655,3,287
64.97,24.805,36.615,98.625,19.1,89.575,16.93,3,288
77.96,29.53,13.19,100,36.42,89.575,35.24,3,289
69.1,38.585,23.23,100,50.595,85.045,21.06,3,290
68.705,63.59,42.13,100,49.215,76.385,15.55,3,291
59.65,86.815,66.54,100,35.435,87.21,33.665,3,292
84.255,75.4,26.97,100,40.355,93.51,27.365,3,293
63.985,67.72,34.65,100,37.405,97.64,55.715,3,294
73.825,78.355,45.87,100,31.105,83.865,31.5,3,295
69.1,91.345,42.13,100,37.21,90.95,27.76,3,296
62.8,95.09,26.77,100,46.065,84.06,37.205,3,297
64.57,100,25.79,100,30.515,75.79,25.985,3,298
78.745,99.22,49.61,100,24.61,68.705,20.08,3,299
75.99,100,54.335,100,28.15,56.7,21.46,3,300
49.81,98.43,49.61,100,30.125,76.975,38.585,3,301
69.295,95.085,25,100,33.465,74.22,57.875,3,302
63.98,90.36,20.865,100,44.1,56.11,61.62,3,303
63.785,100,34.845,100,62.21,35.435,36.815,3,304
64.18,100,23.03,100,81.11,16.145,30.315,3,305
63.785,100,46.465,100,79.34,61.615,31.895,3,306
68.705,99.02,72.84,100,57.09,94.1,47.445,3,307
68.705,100,59.06,100,46.66,55.715,25.985,3,308
71.265,98.43,52.565,100,60.24,74.02,39.57,3,309
59.455,94.885,55.91,100,58.27,61.42,29.925,3,310
78.355,86.42,61.225,100,42.325,58.86,39.77,3,311
67.525,100,63.195,100,46.855,56.11,46.46,3,312
63.195,100,47.445,100,65.16,29.73,26.38,3,313
69.1,100,78.745,100,23.23,15.355,50.595,3,314
85.835,100,62.605,100,29.925,20.275,15.75,3,315
88.79,98.825,66.735,100,36.62,23.625,17.915,3,316
84.065,100,68.905,100,30.71,14.57,23.62,3,317
92.92,96.065,75.99,100,27.76,13.39,23.82,3,318
94.105,75.985,71.855,100,29.725,11.42,22.44,3,319
92.92,42.13,41.345,100,36.42,19.685,22.245,3,320
66.34,41.735,35.635,100,29.925,11.415,14.175,3,321
46.66,22.44,24.805,100,25.005,21.46,29.135,3,322
50.99,17.325,24.21,100,29.925,49.805,12.6,3,323
55.32,29.14,52.17,100,28.155,64.57,18.115,3,324
68.315,26.185,42.13,100,29.53,41.93,21.85,3,325
55.91,16.145,61.225,100,25.2,47.05,16.145,3,326
59.85,15.945,49.61,80.71,40.16,50.595,25.2,3,327
75.99,19.49,21.065,100,29.14,37.8,12.01,3,328
86.62,21.855,32.875,100,24.215,37.405,10.24,3,329
80.915,22.64,24.805,100,19.885,36.42,10.83,3,330
77.17,53.155,42.52,100,20.675,26.575,14.17,3,331
77.96,36.03,22.835,100,23.43,25,23.625,3,332
65.165,26.77,44.885,100,23.82,16.735,12.8,3,333
73.43,30.905,34.845,100,24.215,14.96,11.025,3,334
71.66,25.395,42.13,95.87,34.45,10.63,9.45,3,335
75.595,15.95,36.62,89.375,40.16,12.6,10.235,3,336
62.21,25.79,44.49,100,38.19,15.75,17.325,3,337
63.195,27.365,61.225,100,20.085,21.26,15.36,3,338
61.425,24.215,21.26,100,25.395,12.6,20.47,3,339
46.66,45.28,52.17,100,22.835,12.405,9.055,3,340
14.175,56.695,28.74,100,22.245,10.83,22.05,3,341
25.2,72.84,15.945,100,18.11,11.415,19.095,3,342
34.255,74.415,44.1,100,21.85,11.81,30.315,3,343
40.16,62.8,48.035,100,36.62,19.095,34.06,3,344
38.785,24.61,29.335,100,25.2,18.305,18.505,3,345
15.16,28.545,38.98,100,29.135,9.45,10.24,3,346
21.065,39.765,33.665,100,25,19.49,20.67,3,347
23.82,45.675,42.525,100,36.225,18.115,25.595,3,348
22.64,39.375,47.445,100,28.35,25,23.23,3,349
13.385,46.855,32.09,100,27.17,19.49,33.665,3,350
22.835,42.72,31.105,100,24.015,19.88,32.285,3,351
26.775,57.68,18.705,100,19.49,13.58,25.985,3,352
26.18,79.925,19.885,100,37.8,19.88,24.61,3,353
24.805,58.075,62.015,100,25.395,17.52,34.845,3,354
16.93,47.445,60.44,100,27.955,19.295,39.37,3,355
20.87,57.29,77.365,100,49.41,49.22,23.035,3,356
14.96,50,81.5,100,79.93,49.61,31.695,3,357
27.365,50.79,72.445,100,40.36,15.945,41.145,3,358
19.29,53.55,43.51,100,36.22,16.14,26.58,3,359
34.06,93.51,70.28,90.75,31.3,24.605,46.855,3,360
25.595,99.805,67.92,100,32.48,13.98,24.215,3,361
16.34,100,83.865,100,37.405,22.835,34.45,3,362
22.64,100,37.995,100,43.115,13.78,23.035,3,363
41.735,89.965,59.455,73.63,30.12,29.53,35.24,3,364
44.495,96.655,37.01,100,23.82,45.475,41.345,3,365
33.075,98.625,40.555,100,30.12,69.89,20.67,3,366
81.305,100,33.47,100,26.58,36.025,27.17,3,367
75.4,100,26.58,100,20.87,43.9,23.425,3,368
51.78,98.43,41.93,100,31.3,58.665,33.07,3,369
37.6,100,42.72,100,46.655,26.185,11.22,3,370
27.365,98.43,42.52,100,22.05,16.535,29.135,3,371
35.63,100,31.105,100,32.68,16.535,19.095,3,372
22.05,100,63.195,100,45.085,21.065,47.05,3,373
20.475,98.035,63.98,100,62.605,20.275,66.935,3,374
18.505,90.555,81.89,100,33.86,28.15,86.62,3,375
25.395,100,92.525,100,46.265,19.295,65.755,3,376
34.45,100,96.46,100,43.51,39.375,75.005,3,377
27.36,100,77.17,100,43.31,47.445,52.56,3,378
31.695,93.115,83.08,100,20.275,70.675,58.665,3,379
26.775,94.69,48.625,100,43.31,95.87,39.175,3,380
62.605,100,95.475,100,21.855,99.805,74.02,3,381
24.41,96.07,61.815,100,32.085,93.115,51.775,3,382
27.76,95.28,88.585,98.825,42.325,100,59.06,3,383
31.3,98.035,82.88,100,37.995,100,20.87,3,384
30.125,99.02,69.1,100,48.23,93.515,42.915,3,385
46.66,100,88.59,100,48.035,88.19,37.995,3,386
51.38,96.66,93.315,100,77.17,90.36,20.87,3,387
31.5,93.71,80.715,100,59.45,61.03,39.18,3,388
25,87.605,95.48,100,61.62,57.485,41.34,3,389
32.88,100,62.8,100,71.46,36.615,65.36,3,390
25.985,99.215,68.51,100,98.625,21.855,57.88,3,391
20.475,100,66.345,100,76.975,17.915,47.245,3,392
60.24,91.74,57.09,100,85.635,16.93,37.6,3,393
63.985,99.61,72.645,100,81.895,18.9,20.475,3,394
58.275,97.445,80.915,100,85.635,12.99,27.17,3,395
31.5,50.395,31.89,50.195,39.57,4.725,11.81,3,396
52.955,94.885,63.195,100,75.79,16.34,29.925,3,397
37.01,99.415,67.92,100,79.93,13.98,20.28,3,398
62.8,100,56.695,100,69.1,10.24,20.67,3,399
70.675,98.035,66.15,100,34.845,16.14,33.47,3,400
61.025,100,67.13,100,46.655,13.98,20.275,3,401
57.88,98.43,56.895,100,65.16,14.765,24.215,3,402
34.45,68.115,63.785,100,64.77,10.24,76.975,3,403
23.035,92.72,57.68,100,41.34,8.465,46.66,3,404
26.775,100,63.785,100,41.93,11.815,55.32,3,405
33.86,100,58.275,100,44.885,17.525,28.94,3,406
32.875,100,59.45,100,37.405,15.75,27.365,3,407
25.4,98.04,63,100,28.545,27.955,37.605,3,408
51.97,100,66.54,100,25.005,17.13,26.775,3,409
34.255,98.625,60.635,100,31.305,16.535,12.99,3,410
39.57,99.61,61.42,100,22.64,8.265,16.735,3,411
41.145,100,23.035,100,23.23,10.83,19.885,3,412
42.13,100,17.715,100,21.46,20.475,52.76,3,413
56.5,89.965,33.665,100,29.135,9.255,58.27,3,414
55.91,90.555,67.13,85.24,20.865,19.1,30.515,3,415
55.715,62.405,38.975,97.64,28.155,22.84,37.8,3,416
43.9,74.415,81.305,99.415,27.365,12.405,36.81,3,417
68.51,74.81,100,100,19.685,11.22,33.465,3,418
70.675,51.58,94.495,100,29.725,17.52,15.75,3,419
86.625,34.055,82.09,100,27.56,18.9,32.09,3,420
61.42,24.805,93.31,100,20.87,12.595,19.685,3,421
61.225,22.05,100,76.975,26.97,11.22,44.49,3,422
66.935,29.925,74.02,63.39,26.575,23.82,59.06,3,423
56.5,21.065,57.485,98.035,22.445,34.45,33.27,3,424
48.625,15.55,38.98,50.59,25.395,26.97,29.135,3,425
32.48,16.535,33.86,44.1,26.185,15.16,32.68,3,426
59.65,20.475,63.585,51.185,24.805,31.105,50.005,3,427
63.39,25.59,35.24,84.455,36.225,17.525,29.73,3,428
69.1,17.52,72.84,94.49,28.35,11.615,23.03,3,429
66.74,31.105,80.715,71.855,22.84,15.355,24.41,3,430
71.66,29.33,31.695,69.69,20.67,17.125,30.71,3,431
64.965,23.82,36.615,71.855,22.245,18.305,37.01,3,432
46.465,26.38,39.965,56.105,30.905,22.05,10.43,3,433
34.645,22.835,61.615,48.43,14.57,14.57,27.955,3,434
36.42,27.365,9.055,42.325,15.95,12.21,9.845,3,435
56.895,13.78,15.95,56.895,20.275,11.42,9.645,3,436
36.62,18.305,18.705,50.985,16.34,20.675,12.99,3,437
55.91,33.27,19.49,38.39,31.495,14.175,10.04,3,438
51.775,48.625,16.14,76.58,18.31,12.795,19.885,3,439
51.975,25,18.31,64.57,25.4,13.19,25.59,3,440
53.15,25.4,25.985,51.185,20.475,41.935,30.905,3,441
50.99,18.9,24.015,63.98,25.595,66.735,18.9,3,442
45.475,15.945,17.13,53.35,22.05,24.21,12.005,3,443
28.15,25.005,25,43.905,20.28,17.52,25.4,3,444
19.49,16.14,16.93,46.46,19.685,11.415,30.71,3,445
20.475,23.82,11.22,30.91,21.26,7.285,19.095,3,446
25.2,20.675,47.245,74.02,23.425,18.9,13.19,3,447
31.105,19.885,31.89,62.6,24.41,20.08,46.07,3,448
40.95,20.87,47.445,40.555,22.445,12.6,59.06,3,449
40.16,15.36,45.87,47.835,22.835,9.45,54.53,3,450
48.825,24.02,34.845,47.445,22.05,13.385,24.215,3,451
41.935,19.095,39.375,47.25,19.095,25.2,20.08,3,452
43.115,21.26,24.215,43.51,22.64,24.41,20.08,3,453
37.21,21.46,32.285,71.66,30.12,12.795,19.885,3,454
11.615,16.93,23.625,75.595,16.34,17.715,16.535,3,455
10.825,31.895,28.94,58.27,20.08,16.93,16.73,3,456
13.19,18.115,13.385,52.76,14.965,21.455,16.34,3,457
13.98,18.305,8.27,42.915,13.58,29.92,29.925,3,458
