L101,L102,L103,L104,L106,L107,L108,DAY,TIME
10.63,12.99,14.57,84.845,55.125,9.845,14.57,17,4926
7.09,7.875,16.735,50.4,37.405,13.385,11.81,17,4927
15.16,56.7,11.615,60.04,19.685,6.105,15.75,17,4928
6.295,90.16,14.765,100,38.19,10.435,10.04,17,4929
13.78,98.035,15.75,100,41.735,11.22,25.59,17,4930
15.55,91.74,24.805,100,43.31,21.46,28.35,17,4931
17.915,85.44,13.78,100,23.625,15.75,62.01,17,4932
14.375,99.02,30.32,100,25.395,13.78,10.63,17,4933
17.915,94.69,13.585,100,24.805,7.285,21.655,17,4934
19.885,100,34.65,100,28.545,12.4,39.77,17,4935
12.995,93.705,17.72,100,33.86,6.89,29.53,17,4936
9.84,77.56,28.94,100,38.39,11.615,25.2,17,4937
19.095,100,44.885,100,30.515,7.085,10.435,17,4938
24.215,100,19.885,100,35.24,7.485,22.84,17,4939
45.275,100,45.28,100,41.735,8.66,22.25,17,4940
68.905,100,38.98,100,27.755,12.205,17.13,17,4941
90.755,100,32.48,100,42.13,9.055,23.23,17,4942
71.46,100,60.44,100,86.03,9.84,17.325,17,4943
60.83,100,57.88,100,75.79,9.25,14.96,17,4944
76.97,100,29.53,100,41.34,12.205,23.03,17,4945
72.055,100,73.82,100,62.015,11.42,19.88,17,4946
88.785,96.065,81.895,100,47.05,14.565,40.16,17,4947
75.2,100,51.975,100,34.255,23.625,18.7,17,4948
59.65,100,86.23,100,28.345,21.455,30.91,17,4949
73.43,100,70.675,100,31.3,30.515,33.075,17,4950
88.39,100,89.575,100,37.01,51.97,22.245,17,4951
53.155,100,94.69,100,37.21,41.74,32.485,17,4952
73.235,100,96.855,100,23.625,49.61,33.465,17,4953
63.39,100,32.88,100,32.09,60.24,34.65,17,4954
78.355,100,35.63,100,56.5,58.075,14.57,17,4955
86.03,100,61.815,100,71.265,85.835,18.895,17,4956
76.585,100,83.665,100,24.215,97.84,21.065,17,4957
96.855,97.445,35.83,100,41.145,96.46,32.09,17,4958
98.23,99.61,86.42,100,28.15,97.25,39.57,17,4959
58.67,100,58.075,100,24.015,99.805,61.62,17,4960
57.68,98.625,26.18,100,34.055,98.825,34.25,17,4961
94.495,100,40.16,100,61.025,91.935,32.48,17,4962
93.12,100,33.07,100,51.38,100,33.86,17,4963
97.445,97.445,19.885,100,24.41,88.585,23.82,17,4964
88.785,91.93,61.62,100,32.875,85.83,39.175,17,4965
85.245,82.29,39.175,100,25.79,88.98,28.745,17,4966
88.2,97.25,45.08,100,36.42,77.365,19.69,17,4967
86.615,100,48.035,100,41.74,73.63,30.32,17,4968
93.115,38.585,56.5,100,31.695,85.835,23.23,17,4969
95.87,58.47,23.23,100,30.315,96.655,23.825,17,4970
94.295,87.01,57.09,100,41.535,94.885,20.87,17,4971
82.09,92.325,38.59,100,32.875,100,17.13,17,4972
85.44,100,57.29,100,23.43,88.585,20.475,17,4973
83.075,98.23,82.29,100,25.79,100,35.04,17,4974
93.51,99.61,39.37,100,29.53,97.64,21.46,17,4975
83.86,100,23.625,100,25.595,100,22.045,17,4976
71.07,97.25,13.19,100,23.425,100,46.46,17,4977
75.99,100,51.775,100,22.44,100,30.315,17,4978
78.355,98.825,97.64,100,49.415,99.215,40.36,17,4979
82.09,97.64,52.565,100,34.65,100,15.155,17,4980
79.73,100,60.24,100,40.16,100,46.265,17,4981
99.805,100,62.41,100,13.78,100,13.785,17,4982
100,100,50.79,100,30.12,100,19.1,17,4983
95.08,100,43.7,100,30.715,95.28,55.71,17,4984
29.335,50.395,8.66,50.59,13.975,50.395,19.685,17,4985
77.565,100,17.325,100,37.6,100,7.285,17,4986
95.875,100,55.515,100,47.645,94.295,12.995,17,4987
95.085,100,60.045,100,92.525,82.49,35.63,17,4988
71.07,100,63.195,100,88.98,96.855,24.805,17,4989
89.575,100,61.62,100,38.585,95.675,31.105,17,4990
91.545,97.05,59.845,100,20.08,100,21.85,17,4991
98.435,95.87,74.61,100,25.985,98.625,18.11,17,4992
97.64,100,52.17,100,29.135,100,25.005,17,4993
98.23,100,51.58,100,79.925,100,53.94,17,4994
93.31,100,68.31,100,78.55,93.115,65.56,17,4995
97.05,100,74.805,100,69.495,100,74.615,17,4996
94.1,100,75.795,100,89.375,100,41.935,17,4997
80.315,100,73.235,100,99.415,88.785,20.275,17,4998
52.565,100,54.73,100,75.01,97.84,10.63,17,4999
71.855,89.375,60.44,100,57.68,100,73.825,17,5000
95.28,100,53.35,100,35.04,100,82.29,17,5001
90.165,100,50.985,100,83.075,100,71.66,17,5002
96.86,100,51.38,100,95.28,100,82.29,17,5003
86.425,100,56.89,100,87.015,64.375,89.965,17,5004
98.04,100,59.65,100,100,62.8,96.065,17,5005
70.475,99.415,58.665,100,92.13,96.855,98.035,17,5006
71.86,100,59.45,100,81.505,100,95.475,17,5007
60.245,100,54.335,100,27.56,100,100,17,5008
37.6,50,25.79,50.395,13.19,50.195,38.19,17,5009
82.29,100,54.93,100,50.2,100,57.485,17,5010
94.1,100,60.24,100,32.68,95.48,74.81,17,5011
85.835,100,42.13,100,56.695,94.1,53.155,17,5012
75.795,100,14.57,100,91.15,88.19,55.515,17,5013
63.98,100,21.85,100,96.07,100,34.06,17,5014
64.375,99.61,42.72,100,76.975,100,62.41,17,5015
79.14,100,33.27,100,89.375,92.13,50.395,17,5016
65.755,100,29.73,100,43.9,93.9,24.015,17,5017
79.34,99.02,36.815,100,38.78,89.18,11.415,17,5018
62.21,100,17.125,100,58.665,91.93,13.19,17,5019
75.4,100,32.485,100,57.485,77.37,19.885,17,5020
78.745,100,29.53,100,56.695,93.115,11.615,17,5021
91.74,97.05,28.74,100,49.415,96.655,18.31,17,5022
61.815,99.02,22.25,100,30.91,94.69,9.055,17,5023
61.615,33.66,38.585,100,21.065,96.855,21.655,17,5024
69.495,20.87,36.615,93.705,23.035,85.635,22.245,17,5025
58.075,19.88,28.545,88.59,27.76,93.705,49.61,17,5026
36.22,7.285,21.065,46.46,13.975,40.555,5.12,17,5027
81.305,23.035,17.72,73.235,23.625,98.43,19.69,17,5028
56.895,18.505,39.77,75.99,25.595,99.415,26.775,17,5029
73.825,15.555,70.48,82.485,25.395,94.1,45.87,17,5030
75.99,10.83,63.985,89.77,26.38,100,75.99,17,5031
76.78,16.535,56.695,83.075,33.665,84.255,20.87,17,5032
87.41,18.115,63.395,66.345,54.335,93.115,35.435,17,5033
66.54,24.61,59.65,79.14,35.235,88.195,33.665,17,5034
83.27,14.96,50.99,99.02,39.37,82.685,13.39,17,5035
87.015,19.885,13.19,90.95,39.96,87.605,24.215,17,5036
77.76,14.175,14.375,100,24.605,91.54,15.16,17,5037
67.915,14.765,27.565,100,41.54,97.445,43.905,17,5038
70.475,15.355,26.58,100,70.48,95.675,9.06,17,5039
89.175,26.38,23.43,100,67.915,93.31,10.635,17,5040
82.285,24.805,18.11,100,65.755,92.325,10.825,17,5041
67.525,22.64,17.52,100,36.615,91.145,16.73,17,5042
77.37,20.08,17.52,100,31.89,95.475,28.545,17,5043
68.115,21.46,38.785,100,28.74,79.535,48.82,17,5044
81.7,14.765,40.355,100,44.495,100,17.525,17,5045
71.46,13.19,23.23,100,72.445,85.635,25.985,17,5046
81.505,12.4,27.165,100,69.885,98.825,10.04,17,5047
93.12,11.025,28.745,100,39.18,80.52,21.065,17,5048
82.685,16.735,17.72,95.28,65.95,71.66,16.93,17,5049
82.685,16.535,39.965,100,30.12,62.41,21.655,17,5050
71.655,11.025,29.33,100,26.97,91.15,30.315,17,5051
68.315,24.02,58.86,100,29.335,88.785,52.96,17,5052
85.045,12.995,38.19,100,25.195,92.525,34.255,17,5053
88.59,21.065,46.065,100,25.005,100,28.74,17,5054
79.14,21.85,49.22,100,30.91,87.41,35.83,17,5055
67.72,18.9,52.76,100,27.955,93.9,36.815,17,5056
62.015,22.44,54.135,100,26.97,93.905,61.03,17,5057
62.995,29.725,66.345,100,27.165,94.495,65.555,17,5058
91.145,77.76,59.65,100,30.12,67.525,52.365,17,5059
85.44,90.16,57.68,100,44.095,73.04,58.08,17,5060
82.88,80.125,59.845,100,27.565,75.005,71.855,17,5061
82.095,53.15,57.485,100,37.205,89.775,67.525,17,5062
84.85,81.9,53.545,100,35.435,59.455,73.63,17,5063
71.66,90.36,47.05,100,24.41,30.12,98.43,17,5064
92.13,68.705,54.925,100,27.955,12.6,99.02,17,5065
97.25,22.445,14.37,100,25.985,10.24,96.855,17,5066
80.125,10.63,19.49,94.295,36.42,12.005,97.445,17,5067
87.01,27.955,29.925,60.635,62.405,16.735,93.115,17,5068
92.135,27.165,23.43,88.585,42.52,12.995,86.615,17,5069
89.18,16.54,48.825,98.04,28.94,13.585,75.6,17,5070
70.08,11.22,25.985,88.585,31.5,13.585,92.53,17,5071
89.97,46.46,89.77,66.935,30.515,18.9,76.38,17,5072
60.045,49.22,57.09,83.67,31.5,15.75,80.91,17,5073
75.2,23.43,61.62,82.685,36.815,14.565,64.97,17,5074
82.88,10.04,61.225,82.29,29.135,18.9,66.735,17,5075
63.785,16.93,70.475,66.935,46.46,18.9,68.905,17,5076
79.535,14.57,60.635,100,68.115,13.19,63.585,17,5077
70.085,13.78,62.205,96.46,27.365,13.78,59.055,17,5078
77.365,18.11,64.57,99.61,28.94,19.885,55.91,17,5079
82.095,13.58,66.345,100,29.925,10.63,48.43,17,5080
86.03,13.98,51.185,100,23.425,12.405,38.195,17,5081
66.145,14.765,16.54,99.415,29.33,10.63,25.785,17,5082
79.73,11.615,54.925,78.355,36.42,13.39,52.96,17,5083
83.075,17.52,51.975,85.05,23.03,20.475,47.445,17,5084
65.16,14.175,56.7,81.305,34.25,14.765,25.2,17,5085
79.53,13.58,50.4,75.005,30.515,15.555,25.2,17,5086
63.585,11.81,56.7,46.265,29.135,12.995,29.335,17,5087
78.55,10.435,72.45,52.37,26.775,12.795,32.29,17,5088
69.1,14.37,49.215,51.58,48.23,9.45,47.05,17,5089
72.05,18.505,18.705,54.14,81.305,13.19,58.665,17,5090
63.39,22.44,41.93,81.5,45.87,8.665,58.47,17,5091
84.65,13.19,66.935,100,26.775,15.945,53.355,17,5092
68.315,12.01,88.59,61.225,39.57,39.57,28.545,17,5093
79.73,19.095,94.295,82.09,46.065,68.51,14.565,17,5094
81.7,11.22,78.94,90.955,33.665,85.245,10.04,17,5095
85.24,20.275,65.165,59.055,30.32,98.04,11.42,17,5096
65.165,14.175,58.47,78.945,37.01,83.075,42.72,17,5097
76.185,19.29,68.705,66.54,31.495,86.615,49.805,17,5098
73.235,21.065,68.905,63.39,26.775,77.565,50.395,17,5099
77.565,12.6,63.98,84.85,27.955,79.14,22.05,17,5100
64.77,25,75.4,72.055,68.51,44.095,24.61,17,5101
65.165,29.925,68.31,97.05,68.51,26.575,19.88,17,5102
58.27,26.185,43.705,100,30.515,20.67,34.06,17,5103
55.91,19.685,25,100,55.125,15.55,26.58,17,5104
75.005,17.325,47.05,100,40.555,11.42,17.72,17,5105
66.345,18.11,30.32,100,27.165,10.825,43.31,17,5106
84.655,25.595,32.485,100,29.335,23.625,43.505,17,5107
75.005,14.96,31.89,100,25.99,10.235,29.135,17,5108
61.425,19.885,60.24,99.415,26.18,35.83,28.15,17,5109
73.035,16.73,53.155,100,31.5,46.26,36.225,17,5110
64.965,20.275,35.04,100,26.38,44.1,36.62,17,5111
82.485,15.16,49.015,100,31.695,10.83,38.585,17,5112
61.03,14.175,31.5,100,36.42,19.685,26.775,17,5113
91.735,19.49,52.565,100,74.805,26.38,22.245,17,5114
60.04,12.6,43.31,100,21.065,76.97,15.555,17,5115
57.68,25,12.995,100,19.49,64.77,39.96,17,5116
73.63,13.975,16.535,100,36.62,53.94,14.565,17,5117
70.675,19.29,44.295,100,45.08,48.825,43.705,17,5118
74.81,17.125,66.93,100,38.785,28.94,27.165,17,5119
67.92,24.215,66.54,100,33.86,16.145,13.585,17,5120
66.54,36.815,87.01,100,26.97,10.83,10.825,17,5121
74.805,31.3,79.335,100,21.065,13.585,18.7,17,5122
68.51,13.98,70.48,100,36.03,13.385,15.945,17,5123
61.225,18.9,21.655,100,19.295,9.845,18.7,17,5124
66.145,16.535,45.87,100,23.23,18.895,38.19,17,5125
64.375,23.62,54.14,100,21.065,32.09,31.3,17,5126
71.855,22.64,60.24,100,30.515,17.525,30.91,17,5127
74.61,22.445,61.03,100,21.065,13.19,18.505,17,5128
60.245,21.655,63.785,99.61,26.575,22.84,22.64,17,5129
60.435,20.08,68.31,96.855,30.51,33.66,28.545,17,5130
67.525,15.355,41.93,100,65.165,17.915,35.63,17,5131
68.115,13.19,35.83,100,56.7,18.505,47.445,17,5132
79.925,19.095,49.415,88.585,38.39,8.265,27.955,17,5133
52.76,17.52,17.915,96.655,21.46,18.505,71.465,17,5134
69.495,30.32,59.455,97.64,25.785,17.715,28.94,17,5135
68.705,27.36,30.315,100,25.395,9.06,16.535,17,5136
63,24.015,23.43,100,26.185,20.67,35.045,17,5137
66.345,18.11,19.485,100,28.155,16.535,31.3,17,5138
60.435,66.145,35.635,100,30.515,10.24,26.97,17,5139
56.5,87.41,44.1,100,31.105,22.835,35.83,17,5140
23.23,37.405,26.97,50.59,24.41,14.37,36.615,17,5141
85.83,46.46,74.81,100,62.8,18.705,58.275,17,5142
59.85,61.225,81.305,100,25.99,12.4,48.43,17,5143
62.21,75.205,65.555,100,34.845,23.035,37.795,17,5144
65.165,39.77,59.255,100,39.96,19.885,24.805,17,5145
81.5,16.14,85.435,100,28.74,18.7,16.93,17,5146
90.95,16.93,51.97,92.13,32.09,27.17,20.47,17,5147
90.56,16.73,44.095,98.23,28.545,31.89,13.385,17,5148
98.625,17.125,36.225,79.34,23.43,17.915,32.285,17,5149
80.12,11.225,24.41,79.93,22.64,21.06,50.2,17,5150
80.32,35.44,18.11,55.71,33.27,17.915,29.92,17,5151
66.54,29.14,63.585,80.52,30.905,17.915,36.815,17,5152
78.55,40.555,51.38,100,33.66,16.14,21.26,17,5153
66.54,34.255,64.77,100,32.09,14.96,14.96,17,5154
65.75,17.52,55.315,99.02,30.12,14.175,27.955,17,5155
72.445,20.475,71.66,100,46.26,20.28,10.04,17,5156
68.12,14.765,62.995,100,31.3,24.41,14.57,17,5157
56.305,11.615,50.395,79.535,18.505,23.23,14.37,17,5158
61.42,24.02,65.95,58.275,51.185,42.72,39.375,17,5159
49.61,20.475,54.335,91.74,53.545,81.695,38.98,17,5160
65.355,21.655,65.95,100,49.02,71.855,36.225,17,5161
69.89,24.805,45.085,100,43.705,68.51,62.01,17,5162
76.78,35.435,54.73,100,32.285,52.565,71.66,17,5163
73.825,37.015,68.115,100,34.255,51.97,77.37,17,5164
70.675,49.61,38.585,100,37.405,23.82,58.665,17,5165
83.075,51.38,30.515,100,24.41,20.67,78.945,17,5166
62.6,72.445,39.57,100,22.835,24.805,90.36,17,5167
69.3,30.315,30.71,100,24.61,29.925,27.17,17,5168
77.175,24.215,55.12,100,28.15,79.535,40.555,17,5169
87.21,38.585,20.675,100,22.445,71.465,43.9,17,5170
76.775,51.185,58.27,100,25.79,74.61,24.215,17,5171
72.055,79.73,65.56,99.61,21.855,53.545,40.945,17,5172
51.58,67.915,72.25,99.805,22.64,69.1,41.145,17,5173
68.905,64.57,77.37,100,24.015,92.33,18.11,17,5174
67.915,59.65,58.27,100,28.545,75.99,36.025,17,5175
55.125,87.805,58.86,100,29.14,66.935,18.11,17,5176
70.08,89.575,26.97,100,26.38,87.405,14.57,17,5177
71.66,94.695,53.94,100,22.835,92.33,25.395,17,5178
62.995,78.35,36.225,100,20.475,75.6,29.53,17,5179
59.85,95.675,27.76,100,53.155,94.1,28.35,17,5180
71.66,66.735,60.44,100,24.215,71.46,15.355,17,5181
62.21,54.73,36.025,100,35.44,88.59,45.87,17,5182
64.965,37.21,28.74,100,26.38,84.06,49.02,17,5183
70.475,26.38,52.365,100,29.725,79.335,33.86,17,5184
62.405,25.395,38.785,100,27.76,85.835,14.96,17,5185
67.72,21.26,45.87,100,27.76,98.625,11.025,17,5186
81.11,26.97,35.24,100,19.49,83.475,29.33,17,5187
61.03,48.035,25.59,100,32.09,85.835,54.335,17,5188
70.675,15.945,48.43,100,27.17,94.495,61.03,17,5189
61.815,22.44,47.25,100,28.94,91.94,44.095,17,5190
76.19,23.82,41.34,100,28.545,94.49,38.39,17,5191
57.88,14.175,61.62,92.72,33.27,95.28,52.76,17,5192
58.08,17.325,71.07,98.625,26.97,73.625,48.82,17,5193
67.13,17.915,43.31,96.665,26.38,90.36,61.62,17,5194
47.835,21.46,43.11,100,28.35,72.055,46.655,17,5195
75.005,15.75,52.17,92.72,29.53,72.645,22.445,17,5196
77.17,18.705,38.19,100,25.79,84.45,15.75,17,5197
63.585,17.915,28.545,100,27.165,84.655,20.67,17,5198
79.145,21.46,36.42,87.015,51.775,57.285,29.92,17,5199
73.63,13.585,58.67,69.495,45.87,78.55,37.205,17,5200
82.29,23.825,73.43,89.18,30.515,73.825,38.39,17,5201
72.25,14.765,86.62,100,30.515,59.26,23.82,17,5202
79.14,12.205,58.665,82.685,41.735,52.76,24.41,17,5203
67.33,23.625,22.64,90.755,42.325,29.925,32.09,17,5204
74.415,22.05,53.155,60.045,29.135,25.005,26.185,17,5205
81.105,35.24,54.53,65.16,24.41,10.235,62.405,17,5206
77.96,15.945,36.81,100,25.79,12.795,44.1,17,5207
67.33,19.49,71.07,100,38.98,10.825,34.845,17,5208
71.855,19.49,52.365,100,57.09,11.81,13.975,17,5209
85.44,24.805,66.345,100,53.945,12.405,31.105,17,5210
72.84,16.145,91.345,100,23.82,10.435,23.425,17,5211
59.255,13.19,67.525,76.975,22.64,14.565,19.095,17,5212
72.25,21.46,82.095,78.16,21.26,10.825,15.155,17,5213
53.545,14.175,29.335,91.15,24.02,15.945,39.175,17,5214
70.475,14.765,25.79,93.9,25.4,22.05,48.43,17,5215
67.915,13.975,33.47,60.24,20.67,34.06,41.93,17,5216
81.7,18.705,47.05,55.71,28.94,36.22,12.4,17,5217
88,16.93,58.665,36.615,42.72,12.6,34.255,17,5218
59.85,14.375,95.87,55.91,33.275,12.01,22.64,17,5219
88.585,15.16,75.595,61.82,33.27,23.43,40.36,17,5220
50.99,11.615,97.45,55.515,29.92,14.565,24.215,17,5221
80.32,12.995,82.685,50.005,22.445,18.115,14.765,17,5222
65.75,16.34,68.315,58.865,22.64,10.63,18.705,17,5223
53.94,18.505,21.655,71.265,16.93,22.05,17.525,17,5224
69.885,13.78,28.155,73.035,17.32,24.41,21.655,17,5225
68.9,16.14,12.6,46.46,21.065,18.505,20.08,17,5226
70.48,15.745,39.77,41.735,26.58,21.46,13.58,17,5227
62.21,29.925,38.39,58.665,20.67,54.53,12.795,17,5228
52.565,23.62,20.67,59.45,25.79,35.24,10.43,17,5229
39.765,23.035,14.765,72.245,21.26,13.98,21.065,17,5230
38.19,14.57,67.92,69.495,20.865,22.835,34.65,17,5231
38.785,18.9,80.12,53.35,25.4,23.82,46.66,17,5232
38.98,23.425,46.655,49.805,33.86,20.475,22.245,17,5233
25.195,14.765,22.05,68.115,34.255,12.8,22.245,17,5234
34.65,29.53,68.905,72.25,25.99,31.695,30.315,17,5235
17.32,12.8,56.895,100,20.08,14.765,18.31,17,5236
41.145,13.785,78.745,81.11,49.61,9.25,23.82,17,5237
41.93,21.85,48.825,62.8,22.05,17.325,27.955,17,5238
68.31,23.82,42.72,73.825,26.775,14.37,22.44,17,5239
59.65,17.525,27.365,85.64,24.015,17.72,14.57,17,5240
73.825,29.14,29.73,63.585,20.475,11.22,23.035,17,5241
57.09,15.945,15.355,76.185,20.87,10.63,15.36,17,5242
74.61,11.225,30.12,68.31,44.69,12.795,12.405,17,5243
63.785,12.795,37.21,44.1,21.655,12.795,20.675,17,5244
47.05,12.21,23.035,58.275,25,14.175,8.86,17,5245
51.38,11.22,23.625,27.955,19.29,9.84,31.5,17,5246
33.86,12.005,33.665,45.28,34.645,13.19,31.89,17,5247
32.875,16.735,28.745,49.805,20.865,6.89,34.255,17,5248
15.55,17.325,49.215,79.14,25.59,9.45,12.4,17,5249
10.235,20.475,25.79,97.64,18.505,8.665,28.74,17,5250
20.675,14.57,18.31,82.685,19.29,9.25,18.11,17,5251
13.585,14.375,19.685,66.345,18.51,32.285,18.505,17,5252
11.42,11.42,38.19,53.94,25.79,18.7,21.85,17,5253
14.175,17.715,17.325,25.595,21.26,15.95,26.97,17,5254
10.435,19.69,19.49,57.285,20.67,8.665,13.78,17,5255
17.72,15.355,20.275,70.675,34.255,10.435,12.595,17,5256
12.6,12.6,22.835,52.165,19.685,17.13,12.995,17,5257
11.615,9.255,12.99,22.445,18.705,10.63,13.975,17,5258
23.425,10.435,25.595,34.055,16.535,6.105,22.05,17,5259
32.875,11.42,12.01,28.94,18.51,6.105,8.665,17,5260
44.1,9.65,29.53,33.27,18.7,7.675,9.845,17,5261
28.345,8.27,23.625,22.445,18.31,7.285,19.095,17,5262
32.285,18.305,34.455,28.545,27.165,5.315,7.68,17,5263
50.4,12.995,12.01,47.05,14.965,8.265,12.205,17,5264
64.77,12.6,30.315,47.05,18.505,7.875,24.61,17,5265
89.77,12.795,35.83,38.39,15.355,5.905,18.705,17,5266
85.435,18.115,47.055,38.19,25.2,8.265,18.9,17,5267
83.865,32.09,17.125,42.13,13.385,11.81,7.875,17,5268
59.65,10.83,10.63,22.64,12.6,7.285,8.465,17,5269
38.19,10.43,9.055,32.285,11.81,6.1,25.985,17,5270
16.93,13.385,12.6,33.86,17.125,9.055,16.735,17,5271
20.275,18.305,20.08,32.09,16.93,7.09,8.66,17,5272
29.335,8.465,13.975,22.84,16.54,5.71,38.585,17,5273
60.24,8.665,16.73,26.97,16.735,5.51,5.315,17,5274
22.84,11.81,12.405,26.775,14.965,4.725,7.085,17,5275
16.54,9.255,10.435,23.23,12.995,5.12,9.055,17,5276
22.44,9.45,8.86,22.64,12.6,4.725,6.1,17,5277
24.215,9.255,8.66,23.82,11.025,6.695,6.69,17,5278
13.98,5.905,8.665,22.245,11.025,5.315,10.235,17,5279
10.63,9.45,10.63,26.38,13.19,5.71,9.65,17,5280
12.4,9.055,10.04,20.08,16.735,6.695,9.845,18,5281
11.415,12.205,11.42,27.755,12.795,5.515,5.71,18,5282
22.64,9.055,33.27,21.46,8.66,5.315,6.495,18,5283
8.66,17.52,11.025,17.72,10.04,5.315,6.1,18,5284
15.75,7.875,9.06,23.43,11.815,5.515,9.645,18,5285
12.205,7.875,11.615,26.77,19.885,6.5,11.22,18,5286
13.98,7.285,17.325,19.69,13.19,7.675,5.315,18,5287
17.125,8.66,9.255,30.91,12.6,5.51,5.315,18,5288
11.42,17.125,13.19,34.255,12.995,6.89,7.285,18,5289
15.155,8.075,7.875,22.84,11.22,5.315,5.71,18,5290
11.415,8.855,6.5,23.82,10.235,7.285,7.285,18,5291
6.3,9.45,8.265,20.87,11.025,6.3,5.515,18,5292
7.875,5.71,8.465,14.765,13.98,5.315,7.285,18,5293
9.255,6.89,7.875,22.245,10.43,4.725,9.055,18,5294
18.9,8.27,6.69,24.61,11.22,4.725,5.315,18,5295
9.06,8.265,9.65,26.18,10.63,6.89,4.925,18,5296
12.01,8.265,8.465,23.03,14.175,3.94,3.74,18,5297
19.095,8.27,4.925,23.23,10.24,6.495,5.71,18,5298
22.84,8.66,9.055,18.505,11.615,4.92,5.515,18,5299
6.105,6.495,6.695,18.51,9.255,4.33,5.91,18,5300
8.86,7.09,5.905,17.125,16.93,5.91,5.515,18,5301
8.86,6.5,11.42,18.505,12.995,5.12,6.3,18,5302
17.52,5.905,7.68,16.735,11.81,3.345,4.33,18,5303
15.555,10.24,5.71,20.675,10.04,4.33,4.33,18,5304
10.63,4.92,10.825,21.065,17.13,4.33,4.33,18,5305
7.48,7.285,5.315,22.64,9.84,3.935,4.13,18,5306
5.71,4.72,5.315,21.66,8.855,3.545,3.345,18,5307
4.925,5.12,5.51,24.41,11.025,3.935,16.14,18,5308
5.12,4.92,3.935,16.54,13.58,4.135,4.13,18,5309
5.315,4.725,5.315,14.765,23.82,3.935,4.135,18,5310
4.135,6.1,3.94,9.84,9.055,3.74,3.345,18,5311
3.74,5.315,5.315,16.145,9.45,10.435,3.74,18,5312
7.875,4.13,5.905,13.585,12.4,4.135,3.15,18,5313
6.105,2.955,2.56,8.66,7.285,2.365,3.94,18,5314
5.51,4.525,5.51,14.375,6.695,2.755,3.545,18,5315
4.33,4.725,6.105,16.535,18.305,2.56,2.955,18,5316
4.72,4.92,3.345,14.17,16.145,5.115,3.15,18,5317
4.92,4.725,3.74,12.6,8.465,2.955,3.35,18,5318
5.71,4.53,4.135,10.435,5.115,3.545,3.94,18,5319
4.725,3.74,3.935,10.04,13.385,2.76,3.74,18,5320
4.135,3.15,4.33,14.175,18.115,3.15,2.755,18,5321
7.28,3.545,2.955,13.19,7.48,2.755,5.515,18,5322
3.935,3.935,4.92,15.555,5.905,3.94,1.77,18,5323
3.74,3.74,4.33,12.4,7.485,2.755,2.365,18,5324
1.97,1.575,1.77,7.875,2.56,1.18,1.38,18,5325
1.97,4.135,3.54,11.025,6.295,3.35,1.77,18,5326
3.15,1.965,2.56,7.09,6.695,2.755,2.755,18,5327
3.15,3.545,4.92,7.48,5.12,1.775,3.15,18,5328
3.345,4.33,3.345,12.6,5.905,1.575,2.365,18,5329
3.345,2.95,3.74,10.435,6.1,2.755,3.15,18,5330
3.345,2.955,2.955,8.07,5.71,1.965,2.76,18,5331
2.755,4.135,5.12,9.055,14.57,1.375,2.365,18,5332
3.345,3.545,3.74,16.93,4.92,3.545,1.965,18,5333
3.74,2.755,2.365,11.81,6.495,2.36,3.15,18,5334
4.33,2.36,4.525,10.24,10.04,2.36,1.77,18,5335
2.955,3.545,3.15,7.875,6.495,2.165,1.97,18,5336
2.56,3.74,2.755,10.435,16.145,2.36,2.36,18,5337
1.77,2.755,1.97,9.84,4.92,2.36,1.18,18,5338
1.57,2.95,5.115,9.25,13.385,2.165,0.985,18,5339
2.36,2.95,3.545,9.845,4.33,2.365,2.365,18,5340
3.15,3.145,2.56,12.6,6.1,1.575,1.57,18,5341
1.965,2.56,1.965,10.43,3.15,2.56,1.77,18,5342
4.525,2.56,2.56,8.27,3.94,2.56,1.57,18,5343
2.56,2.95,2.165,9.055,3.74,2.165,1.375,18,5344
2.56,1.77,2.76,6.69,36.025,2.365,2.36,18,5345
1.77,2.36,2.56,7.675,46.855,1.375,1.775,18,5346
1.77,2.165,2.755,10.43,30.71,1.97,1.375,18,5347
1.77,2.165,2.555,6.89,32.09,1.38,0.59,18,5348
1.18,1.57,1.18,5.71,40.95,1.77,1.375,18,5349
2.165,1.375,2.555,5.315,31.895,1.38,1.375,18,5350
1.18,2.955,1.97,9.055,42.72,1.18,2.755,18,5351
2.36,3.15,3.15,9.25,47.84,1.77,1.97,18,5352
1.97,2.165,1.965,9.45,40.355,1.57,0.98,18,5353
1.77,3.345,2.56,9.055,31.5,1.77,1.375,18,5354
1.57,2.165,2.76,6.695,46.855,1.97,1.38,18,5355
1.38,1.575,1.38,8.07,15.55,2.165,1.18,18,5356
1.18,2.95,3.94,7.675,24.015,1.77,1.77,18,5357
2.755,1.965,3.15,9.055,12.4,1.18,2.365,18,5358
1.57,3.74,2.365,11.22,25.395,1.77,2.755,18,5359
2.36,2.165,2.955,7.285,33.27,1.575,2.36,18,5360
3.545,2.56,3.345,9.84,48.63,1.97,1.575,18,5361
1.77,2.165,2.165,7.48,28.35,2.36,1.775,18,5362
1.775,2.365,2.365,7.875,20.67,2.36,1.18,18,5363
1.965,3.15,3.15,8.27,5.115,1.575,1.77,18,5364
1.575,2.755,2.36,11.225,9.45,0.985,1.965,18,5365
1.97,2.56,23.625,10.235,39.765,2.165,1.775,18,5366
